Date,BTC,USD
2018-02-28 22:16:32,0.01236755,129.4882485
2018-03-01 00:04:54,0.01236755,130.151452185
2018-03-01 06:13:38,0.01236755,131.6402022
2018-03-01 06:43:37,0.01224929,130.666877548
2018-03-02 00:04:19,0.01224929,131.777861821
2018-03-03 00:03:16,0.01224929,132.292332
2018-03-04 00:00:46,0.01224929,140.119628307
2018-03-04 19:29:55,0.01224929,137.75328524
2018-03-04 19:30:05,0.01224929,137.75328524
2018-03-04 21:31:38,0.01223947,136.738655071
2018-03-05 00:01:14,0.01224309,136.400265638
2018-03-06 00:04:21,0.01224309,140.805620553
2018-03-06 06:48:59,0.01221729,141.610608386
2018-03-06 09:11:35,0.01244572,141.83142512
2018-03-07 00:01:18,0.01244572,136.809112761
2018-03-08 00:04:17,0.01244572,132.546918137
2018-03-08 14:46:24,0.01243287,121.730230147
2018-03-09 00:01:24,0.01240787,120.963849411
2018-03-09 12:42:33,0.0123946,111.637377409
2018-03-10 00:02:33,0.01253041,114.56553863
2018-03-10 03:37:05,0.01248379,111.212144074
2018-03-10 14:42:36,0.01249452,116.611355184
2018-03-10 14:42:46,0.01249452,116.611355184
2018-03-11 00:05:12,0.01249771,117.909587293
2018-03-12 00:05:07,0.01249771,114.682156379
2018-03-13 21:48:51,0.01249771,111.104279466
2018-03-13 21:49:02,0.01249771,111.059312671
2018-03-14 00:02:39,0.01249771,113.729161025
2018-03-15 00:03:00,0.01249771,109.30882475
2018-03-15 05:06:38,0.01247923,102.579270603
2018-03-16 20:29:37,0.01243863,101.089075636
2018-03-16 20:29:47,0.01243863,101.16337779
2018-03-16 22:29:30,0.01236226,104.93086288
2018-03-17 00:04:24,0.01236226,104.8319648
2018-03-18 00:02:55,0.01236226,98.5395745839
2018-03-18 11:23:37,0.01236226,94.4641996878
2018-03-18 11:23:48,0.01236226,94.464199688
2018-03-19 20:35:52,0.01236226,101.9268337
2018-03-19 20:36:04,0.01236226,101.902109208
2018-03-20 00:05:27,0.01236226,106.159671501
2018-03-21 00:03:48,0.01236226,105.394853455
2018-03-21 09:47:36,0.01236226,109.927023709
2018-03-21 09:47:46,0.01236226,109.957877011
2018-03-21 14:11:18,0.01235113,112.112359133
2018-03-21 22:32:11,0.01228352,110.896954981
2018-03-21 22:37:50,0.01225045,110.682815774
2018-03-22 00:00:51,0.01225045,110.92782475
2018-03-22 23:56:49,0.01224601,104.434097099
2018-03-23 00:02:32,0.01221967,103.9893917
2018-03-24 00:00:43,0.01221967,104.770365643
2018-03-25 00:05:29,0.01221967,109.547324185
2018-03-25 03:51:45,0.01221539,108.57038632
2018-03-25 04:57:15,0.01219931,108.469747909
2018-03-25 15:32:14,0.01229704,105.237019623
2018-03-25 16:02:04,0.01228136,104.491640766
2018-03-25 19:12:30,0.01225341,104.28877251
2018-03-25 23:40:12,0.01220812,104.920797945
2018-03-26 00:03:46,0.01220812,104.63579652
2018-03-26 15:37:07,0.01219436,102.99969601
2018-03-27 00:02:53,0.01229826,99.59130948
2018-03-28 00:01:57,0.01229826,99.2023920902
2018-03-29 00:03:07,0.01229826,97.0947627017
2018-03-29 15:51:49,0.01228308,93.7140756249
2018-03-29 17:15:10,0.01225881,91.8653388901
2018-03-29 19:01:38,0.01222158,91.7918858455
2018-03-30 00:04:59,0.01222158,90.6154606216
2018-03-31 00:01:14,0.01222158,83.3115125113
2018-03-31 02:36:22,0.01220164,81.2413826565
2018-03-31 03:12:08,0.01216203,81.5180117469
2018-03-31 03:17:42,0.01214349,81.5320828875
2018-04-01 00:04:03,0.01214349,85.6818917694
2018-04-01 23:02:18,0.01212493,79.2223132002
